session,expected_start,actual_start,expected_duration,actual_duration
Irrationals_From_THEBOOK,1752.462,1963.497,3.302,2.886
IsaGeoCoq,753.131,818.579,52.435,57.399
IsaNet,111.36,129.4,75.71,63.036
Isabelle_C,793.838,811.665,70.439,74.479
Isabelle_DOF,251.132,275.383,91.558,88.67
Isabelle_Marries_Dirac,1208.234,1303.728,388.843,281.186
Isabelle_Meta_Model,326.414,349.075,76.821,77.144
Isabelle_hoops,1582.481,1612.812,9.663,9.998
Isar_Ref,1766.363,1922.867,9.786,9.313
JEdit,1764.31,1837.646,1.494,1.492
Jacobson_Basic_Algebra,1000.616,1069.907,41.497,45.742
Jinja,708.237,644.979,197.938,176.559
JinjaDCI,973.304,971.058,390.851,385.551
JiveDataStoreModel,1696.068,1763.113,6.931,6.62
Jordan_Hoelder,1767.598,1923.9,6.377,6.624
Jordan_Normal_Form,360.406,362.309,155.76,152.851
KAD,111.36,129.432,69.336,66.459
